Expression	Value	Location	Type	
ADXL_DUR	0x70	0x200018B9	unsigned char	
[197]	1737	0x20000BFA	unsigned short	
[198]	1798	0x20000BFC	unsigned short	
[199]	1628	0x20000BFE	unsigned short	

[200]	1979	0x20000C00	unsigned short	
[201]	2043	0x20000C02	unsigned short	
[202]	2101	0x20000C04	unsigned short	
[203]	1888	0x20000C06	unsigned short	

[204]	2431	0x20000C08	unsigned short	
[205]	2510	0x20000C0A	unsigned short	
[206]	2571	0x20000C0C	unsigned short	
[207]	2292	0x20000C0E	unsigned short	

[208]	3063	0x20000C10	unsigned short	
[209]	3133	0x20000C12	unsigned short	
[210]	3214	0x20000C14	unsigned short	
[211]	2879	0x20000C16	unsigned short	

[212]	3891	0x20000C18	unsigned short	
[213]	4013	0x20000C1A	unsigned short	
[214]	4065	0x20000C1C	unsigned short	
[215]	3726	0x20000C1E	unsigned short	

[216]	4688	0x20000C20	unsigned short	
[217]	4796	0x20000C22	unsigned short	
[218]	4769	0x20000C24	unsigned short	
[219]	4564	0x20000C26	unsigned short	

[220]	5130	0x20000C28	unsigned short	
[221]	5243	0x20000C2A	unsigned short	
[222]	5096	0x20000C2C	unsigned short	
[223]	5119	0x20000C2E	unsigned short	

[224]	4477	0x20000C30	unsigned short	
[225]	4635	0x20000C32	unsigned short	
[226]	4380	0x20000C34	unsigned short	
[227]	4640	0x20000C36	unsigned short	

[228]	3286	0x20000C38	unsigned short	
[229]	3476	0x20000C3A	unsigned short	
[230]	3209	0x20000C3C	unsigned short	
[231]	3505	0x20000C3E	unsigned short	

[232]	2419	0x20000C40	unsigned short	
[233]	2597	0x20000C42	unsigned short	
[234]	2378	0x20000C44	unsigned short	
[235]	2624	0x20000C46	unsigned short	

[236]	1952	0x20000C48	unsigned short	
[237]	2076	0x20000C4A	unsigned short	
[238]	1933	0x20000C4C	unsigned short	
[239]	2076	0x20000C4E	unsigned short	

[240]	1528	0x20000C50	unsigned short	
[241]	1629	0x20000C52	unsigned short	
[242]	1543	0x20000C54	unsigned short	
[243]	1627	0x20000C56	unsigned short	


[244]	1273	0x20000C58	unsigned short	









[245]	1288	0x20000C5A	unsigned short	
[246]	1284	0x20000C5C	unsigned short	
[247]	1284	0x20000C5E	unsigned short	
[248]	1260	0x20000C60	unsigned short	
[249]	1253	0x20000C62	unsigned short	
[250]	1256	0x20000C64	unsigned short	
[251]	1248	0x20000C66	unsigned short	
[252]	1231	0x20000C68	unsigned short	
[253]	1232	0x20000C6A	unsigned short	
[254]	1245	0x20000C6C	unsigned short	
[255]	1232	0x20000C6E	unsigned short	
[256]	1296	0x20000C70	unsigned short	
[257]	1291	0x20000C72	unsigned short	
[258]	1292	0x20000C74	unsigned short	
[259]	1280	0x20000C76	unsigned short	
[260]	1245	0x20000C78	unsigned short	
[261]	1238	0x20000C7A	unsigned short	
[262]	1235	0x20000C7C	unsigned short	
[263]	1242	0x20000C7E	unsigned short	
[264]	1275	0x20000C80	unsigned short	
[265]	1271	0x20000C82	unsigned short	
[266]	1261	0x20000C84	unsigned short	
[267]	1270	0x20000C86	unsigned short	
[268]	1364	0x20000C88	unsigned short	
[269]	1362	0x20000C8A	unsigned short	
[270]	1338	0x20000C8C	unsigned short	
[271]	1366	0x20000C8E	unsigned short	
[272]	1271	0x20000C90	unsigned short	
[273]	1268	0x20000C92	unsigned short	
[274]	1264	0x20000C94	unsigned short	
[275]	1252	0x20000C96	unsigned short	
[276]	1320	0x20000C98	unsigned short	
[277]	1331	0x20000C9A	unsigned short	
[278]	1322	0x20000C9C	unsigned short	
[279]	1319	0x20000C9E	unsigned short	
[280]	1299	0x20000CA0	unsigned short	
[281]	1298	0x20000CA2	unsigned short	
[282]	1308	0x20000CA4	unsigned short	
[283]	1305	0x20000CA6	unsigned short	
[284]	1250	0x20000CA8	unsigned short	
[285]	1242	0x20000CAA	unsigned short	
[286]	1252	0x20000CAC	unsigned short	
[287]	1243	0x20000CAE	unsigned short	
[288]	1273	0x20000CB0	unsigned short	
[289]	1284	0x20000CB2	unsigned short	
[290]	1272	0x20000CB4	unsigned short	
[291]	1277	0x20000CB6	unsigned short	
[292]	1262	0x20000CB8	unsigned short	
[293]	1286	0x20000CBA	unsigned short	
[294]	1274	0x20000CBC	unsigned short	
[295]	1266	0x20000CBE	unsigned short	
[296]	1269	0x20000CC0	unsigned short	
[297]	1269	0x20000CC2	unsigned short	
[298]	1265	0x20000CC4	unsigned short	
[299]	1270	0x20000CC6	unsigned short	
[300]	1234	0x20000CC8	unsigned short	
[301]	1248	0x20000CCA	unsigned short	
[302]	1243	0x20000CCC	unsigned short	
[303]	1254	0x20000CCE	unsigned short	
[304]	1330	0x20000CD0	unsigned short	
[305]	1326	0x20000CD2	unsigned short	
[306]	1311	0x20000CD4	unsigned short	
[307]	1310	0x20000CD6	unsigned short	
[308]	1221	0x20000CD8	unsigned short	
[309]	1230	0x20000CDA	unsigned short	
[310]	1231	0x20000CDC	unsigned short	
[311]	1236	0x20000CDE	unsigned short	
[312]	1350	0x20000CE0	unsigned short	
[313]	1345	0x20000CE2	unsigned short	
[314]	1340	0x20000CE4	unsigned short	
[315]	1350	0x20000CE6	unsigned short	
[316]	1329	0x20000CE8	unsigned short	
[317]	1328	0x20000CEA	unsigned short	
[318]	1335	0x20000CEC	unsigned short	
[319]	1336	0x20000CEE	unsigned short	
[320]	1234	0x20000CF0	unsigned short	
[321]	1237	0x20000CF2	unsigned short	
[322]	1236	0x20000CF4	unsigned short	
[323]	1232	0x20000CF6	unsigned short	
[324]	1229	0x20000CF8	unsigned short	
[325]	1237	0x20000CFA	unsigned short	
[326]	1230	0x20000CFC	unsigned short	
[327]	1241	0x20000CFE	unsigned short	
[328]	1189	0x20000D00	unsigned short	
[329]	1210	0x20000D02	unsigned short	
